season,week,n_elim,n_alive,season_len,num_episodes,week_start,week_end,elim_type,end_week,end_n,week_rel,remaining_weeks,need_elims,schedule_pressure,prev_elim_type,week_rel_bin,is_multi,multi_episode
27,6,1,9,9,1.0,2018-10-29,2018-11-04,single,9,4,0.6666666666666666,3,5,2,none,6,0,0
27,7,2,8,9,1.0,2018-11-05,2018-11-11,multi,9,4,0.7777777777777778,2,4,2,single,7,1,0
27,8,2,6,9,1.0,2018-11-12,2018-11-18,multi,9,4,0.8888888888888888,1,2,1,multi,8,1,0
27,9,0,4,9,1.0,2018-11-19,2018-11-19,none,9,4,1.0,0,0,0,multi,9,0,0
28,1,0,12,11,1.0,2019-09-16,2019-09-22,none,11,4,0.09090909090909091,10,8,-2,start,0,0,0
28,2,2,12,11,1.0,2019-09-23,2019-09-29,multi,11,4,0.18181818181818182,9,8,-1,none,0,1,0
28,3,0,10,11,1.0,2019-09-30,2019-10-06,none,11,4,0.2727272727272727,8,6,-2,multi,1,0,0
28,4,1,10,11,1.0,2019-10-07,2019-10-13,single,11,4,0.36363636363636365,7,6,-1,none,2,0,0
28,5,0,9,11,1.0,2019-10-14,2019-10-20,none,11,4,0.45454545454545453,6,5,-1,single,3,0,0
28,6,1,9,11,1.0,2019-10-21,2019-10-27,single,11,4,0.5454545454545454,5,5,0,none,4,0,0
28,7,1,8,11,1.0,2019-10-28,2019-11-03,single,11,4,0.6363636363636364,4,4,0,single,5,0,0
28,8,1,7,11,1.0,2019-11-04,2019-11-10,single,11,4,0.7272727272727273,3,3,0,single,6,0,0
28,9,1,6,11,1.0,2019-11-11,2019-11-17,single,11,4,0.8181818181818182,2,2,0,single,7,0,0
28,10,1,5,11,1.0,2019-11-18,2019-11-24,single,11,4,0.9090909090909091,1,1,0,single,8,0,0
28,11,0,4,11,1.0,2019-11-25,2019-11-25,none,11,4,1.0,0,0,0,single,9,0,0
29,1,0,15,11,1.0,2020-09-14,2020-09-21,none,11,4,0.09090909090909091,10,11,1,start,0,0,0
29,2,1,15,11,1.0,2020-09-22,2020-09-27,single,11,4,0.18181818181818182,9,11,2,none,0,0,0
29,3,1,14,11,1.0,2020-09-28,2020-10-04,single,11,4,0.2727272727272727,8,10,2,single,1,0,0
29,4,1,13,11,1.0,2020-10-05,2020-10-11,single,11,4,0.36363636363636365,7,9,2,single,2,0,0
29,5,1,12,11,1.0,2020-10-12,2020-10-18,single,11,4,0.45454545454545453,6,8,2,single,3,0,0
29,6,1,11,11,1.0,2020-10-19,2020-10-25,single,11,4,0.5454545454545454,5,7,2,single,4,0,0
29,7,2,10,11,1.0,2020-10-26,2020-11-01,multi,11,4,0.6363636363636364,4,6,2,single,5,1,0
29,8,1,8,11,1.0,2020-11-02,2020-11-08,single,11,4,0.7272727272727273,3,4,1,multi,6,0,0
29,9,1,7,11,1.0,2020-11-09,2020-11-15,single,11,4,0.8181818181818182,2,3,1,single,7,0,0
29,10,2,6,11,1.0,2020-11-16,2020-11-22,multi,11,4,0.9090909090909091,1,2,1,single,8,1,0
29,11,0,4,11,1.0,2020-11-23,2020-11-23,none,11,4,1.0,0,0,0,multi,9,0,0
30,1,0,15,10,1.0,2021-09-20,2021-09-26,none,10,4,0.1,9,11,2,start,0,0,0
30,2,1,15,10,1.0,2021-09-27,2021-10-03,single,10,4,0.2,8,11,3,none,1,0,0
30,3,1,14,10,1.0,2021-10-04,2021-10-10,single,10,4,0.3,7,10,3,single,2,0,0
30,4,2,13,10,2.0,2021-10-11,2021-10-17,multi,10,4,0.4,6,9,3,single,3,1,1
30,5,1,11,10,1.0,2021-10-18,2021-10-24,single,10,4,0.5,5,7,2,multi,4,0,0
30,6,1,10,10,1.0,2021-10-25,2021-10-31,single,10,4,0.6,4,6,2,single,5,0,0
30,7,1,9,10,1.0,2021-11-01,2021-11-07,single,10,4,0.7,3,5,2,single,6,0,0
30,8,2,8,10,1.0,2021-11-08,2021-11-14,multi,10,4,0.8,2,4,2,single,7,1,0
30,9,2,6,10,1.0,2021-11-15,2021-11-21,multi,10,4,0.9,1,2,1,multi,8,1,0
30,10,0,4,10,1.0,2021-11-22,2021-11-22,none,10,4,1.0,0,0,0,multi,9,0,0
31,1,1,16,10,1.0,2022-09-19,2022-09-25,single,10,4,0.1,9,12,3,start,0,0,0
31,2,1,15,10,1.0,2022-09-26,2022-10-02,single,10,4,0.2,8,11,3,single,1,0,0
31,3,1,14,10,1.0,2022-10-03,2022-10-09,single,10,4,0.3,7,10,3,single,2,0,0
31,4,1,13,10,1.0,2022-10-10,2022-10-16,single,10,4,0.4,6,9,3,single,3,0,0
31,5,2,12,10,2.0,2022-10-17,2022-10-23,multi,10,4,0.5,5,8,3,single,4,1,1
31,6,1,10,10,1.0,2022-10-24,2022-10-30,single,10,4,0.6,4,6,2,multi,5,0,0
31,7,1,9,10,1.0,2022-10-31,2022-11-06,single,10,4,0.7,3,5,2,single,6,0,0
31,8,2,8,10,1.0,2022-11-07,2022-11-13,multi,10,4,0.8,2,4,2,single,7,1,0
31,9,2,6,10,1.0,2022-11-14,2022-11-20,multi,10,4,0.9,1,2,1,multi,8,1,0
31,10,0,4,10,1.0,2022-11-21,2022-11-21,none,10,4,1.0,0,0,0,multi,9,0,0
32,1,1,14,11,1.0,2023-09-26,2023-10-02,single,11,5,0.09090909090909091,10,9,-1,start,0,0,0
32,2,1,13,11,1.0,2023-10-03,2023-10-09,single,11,5,0.18181818181818182,9,8,-1,single,0,0,0
32,3,1,12,11,1.0,2023-10-10,2023-10-16,single,11,5,0.2727272727272727,8,7,-1,single,1,0,0
32,4,1,11,11,1.0,2023-10-17,2023-10-23,single,11,5,0.36363636363636365,7,6,-1,single,2,0,0
32,5,1,10,11,1.0,2023-10-24,2023-10-30,single,11,5,0.45454545454545453,6,5,-1,single,3,0,0
32,6,1,9,11,1.0,2023-10-31,2023-11-06,single,11,5,0.5454545454545454,5,4,-1,single,4,0,0
32,7,1,8,11,1.0,2023-11-07,2023-11-13,single,11,5,0.6363636363636364,4,3,-1,single,5,0,0
32,8,1,7,11,1.0,2023-11-14,2023-11-20,single,11,5,0.7272727272727273,3,2,-1,single,6,0,0
32,9,1,6,11,1.0,2023-11-21,2023-11-27,single,11,5,0.8181818181818182,2,1,-1,single,7,0,0
32,10,0,5,11,1.0,2023-11-28,2023-12-04,none,11,5,0.9090909090909091,1,0,-1,single,8,0,0
32,11,0,5,11,1.0,2023-12-05,2023-12-05,none,11,5,1.0,0,0,0,none,9,0,0
33,1,0,13,9,1.0,2024-09-17,2024-09-23,none,9,5,0.1111111111111111,8,8,0,start,0,0,0
33,2,2,13,9,1.0,2024-09-24,2024-10-06,multi,9,5,0.2222222222222222,7,8,1,none,1,1,0
33,3,2,11,9,2.0,2024-10-07,2024-10-14,multi,9,5,0.3333333333333333,6,6,0,multi,2,1,1
33,4,1,9,9,1.0,2024-10-15,2024-10-21,single,9,5,0.4444444444444444,5,4,-1,multi,3,0,0
33,5,1,8,9,1.0,2024-10-22,2024-10-28,single,9,5,0.5555555555555556,4,3,-1,single,5,0,0
33,6,1,7,9,1.0,2024-10-29,2024-11-11,single,9,5,0.6666666666666666,3,2,-1,single,6,0,0
33,7,0,6,9,1.0,2024-11-12,2024-11-18,none,9,5,0.7777777777777778,2,1,-1,single,7,0,0
33,8,0,5,9,1.0,2024-11-19,2024-11-25,none,9,5,0.8888888888888888,1,0,-1,none,8,0,0
33,9,0,5,9,1.0,2024-11-26,2024-11-26,none,9,5,1.0,0,0,0,none,9,0,0
34,1,0,14,11,1.0,2025-09-17,2025-09-22,none,11,5,0.09090909090909091,10,9,-1,start,0,0,0
34,2,2,14,11,1.0,2025-09-23,2025-09-29,multi,11,5,0.18181818181818182,9,9,0,none,0,1,0
34,3,1,12,11,1.0,2025-09-30,2025-10-06,single,11,5,0.2727272727272727,8,7,-1,multi,1,0,0
34,4,1,11,11,1.0,2025-10-07,2025-10-13,single,11,5,0.36363636363636365,7,6,-1,single,2,0,0
34,5,0,10,11,1.0,2025-10-14,2025-10-20,none,11,5,0.45454545454545453,6,5,-1,single,3,0,0
34,6,1,10,11,1.0,2025-10-21,2025-10-27,single,11,5,0.5454545454545454,5,5,0,none,4,0,0
34,7,1,9,11,1.0,2025-10-28,2025-11-03,single,11,5,0.6363636363636364,4,4,0,single,5,0,0
34,8,1,8,11,1.0,2025-11-04,2025-11-10,single,11,5,0.7272727272727273,3,3,0,single,6,0,0
34,9,1,7,11,1.0,2025-11-11,2025-11-17,single,11,5,0.8181818181818182,2,2,0,single,7,0,0
34,10,1,6,11,1.0,2025-11-18,2025-11-24,single,11,5,0.9090909090909091,1,1,0,single,8,0,0
34,11,0,5,11,1.0,2025-11-25,2025-11-25,none,11,5,1.0,0,0,0,single,9,0,0
